row_id,trip_id,station_name,event_type,scheduled_time,actual_time,delay_seconds,day_of_week,hour_of_day,service_date,punctuality_status,delay_bucket,peak_status,day_type
52,1|64464|5|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 02:14:00,2025-01-24 02:06:00,-480.0,5,2,2025-01-24,early,more_than_5min_early,off_peak,weekday
53,1|64499|5|86|23012025,Antonplatz (Berlin),arrival,2025-01-24 02:21:00,2025-01-24 02:21:00,0.0,5,2,2025-01-24,punctual,on_time,off_peak,weekday
54,1|64499|5|86|23012025,Antonplatz (Berlin),departure,2025-01-24 02:21:00,2025-01-24 02:21:00,0.0,5,2,2025-01-24,punctual,on_time,off_peak,weekday
55,1|64464|5|86|23012025,Antonplatz (Berlin),arrival,2025-01-24 02:23:00,2025-01-24 02:15:00,-480.0,5,2,2025-01-24,early,more_than_5min_early,off_peak,weekday
56,1|64464|5|86|23012025,Antonplatz (Berlin),departure,2025-01-24 02:23:00,2025-01-24 02:15:00,-480.0,5,2,2025-01-24,early,more_than_5min_early,off_peak,weekday
57,1|64499|5|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 02:31:00,2025-01-24 02:32:00,60.0,5,2,2025-01-24,punctual,on_time,off_peak,weekday
58,1|64499|5|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 02:31:00,2025-01-24 02:32:00,60.0,5,2,2025-01-24,punctual,on_time,off_peak,weekday
59,1|64460|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 02:44:00,2025-01-24 02:36:00,-480.0,5,2,2025-01-24,early,more_than_5min_early,off_peak,weekday
60,1|64460|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 02:44:00,2025-01-24 02:36:00,-480.0,5,2,2025-01-24,early,more_than_5min_early,off_peak,weekday
61,1|64495|0|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 02:51:00,2025-01-24 02:51:00,0.0,5,2,2025-01-24,punctual,on_time,off_peak,weekday
62,1|64495|0|86|24012025,Antonplatz (Berlin),departure,2025-01-24 02:51:00,2025-01-24 02:51:00,0.0,5,2,2025-01-24,punctual,on_time,off_peak,weekday
63,1|64460|0|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 02:53:00,2025-01-24 02:45:00,-480.0,5,2,2025-01-24,early,more_than_5min_early,off_peak,weekday
64,1|64460|0|86|24012025,Antonplatz (Berlin),departure,2025-01-24 02:53:00,2025-01-24 02:45:00,-480.0,5,2,2025-01-24,early,more_than_5min_early,off_peak,weekday
65,1|64495|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 03:01:00,2025-01-24 03:04:00,180.0,5,3,2025-01-24,late,1_to_5min_late,off_peak,weekday
66,1|64495|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 03:01:00,2025-01-24 03:04:00,180.0,5,3,2025-01-24,late,1_to_5min_late,off_peak,weekday
67,1|64460|1|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 03:14:00,2025-01-24 03:07:00,-420.0,5,3,2025-01-24,early,more_than_5min_early,off_peak,weekday
68,1|64460|1|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 03:14:00,2025-01-24 03:07:00,-420.0,5,3,2025-01-24,early,more_than_5min_early,off_peak,weekday
69,1|64495|1|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 03:21:00,2025-01-24 03:21:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
70,1|64495|1|86|24012025,Antonplatz (Berlin),departure,2025-01-24 03:21:00,2025-01-24 03:21:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
71,1|64460|1|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 03:23:00,2025-01-24 03:16:00,-420.0,5,3,2025-01-24,early,more_than_5min_early,off_peak,weekday
72,1|64460|1|86|24012025,Antonplatz (Berlin),departure,2025-01-24 03:23:00,2025-01-24 03:16:00,-420.0,5,3,2025-01-24,early,more_than_5min_early,off_peak,weekday
73,1|64495|1|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 03:31:00,2025-01-24 03:33:00,120.0,5,3,2025-01-24,late,1_to_5min_late,off_peak,weekday
74,1|64495|1|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 03:31:00,2025-01-24 03:33:00,120.0,5,3,2025-01-24,late,1_to_5min_late,off_peak,weekday
75,1|64481|0|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 03:34:00,2025-01-24 03:34:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
76,1|64481|0|86|24012025,Antonplatz (Berlin),departure,2025-01-24 03:34:00,2025-01-24 03:34:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
77,1|64503|0|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 03:44:00,2025-01-24 03:44:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
78,1|64503|0|86|24012025,Antonplatz (Berlin),departure,2025-01-24 03:44:00,2025-01-24 03:44:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
79,1|64481|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 03:44:00,2025-01-24 03:44:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
80,1|64460|2|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 03:44:00,2025-01-24 03:37:00,-420.0,5,3,2025-01-24,early,more_than_5min_early,off_peak,weekday
81,1|64481|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 03:44:00,2025-01-24 03:44:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
82,1|64460|2|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 03:44:00,2025-01-24 03:37:00,-420.0,5,3,2025-01-24,early,more_than_5min_early,off_peak,weekday
83,1|64460|2|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 03:53:00,2025-01-24 03:46:00,-420.0,5,3,2025-01-24,early,more_than_5min_early,off_peak,weekday
84,1|64460|2|86|24012025,Antonplatz (Berlin),departure,2025-01-24 03:53:00,2025-01-24 03:46:00,-420.0,5,3,2025-01-24,early,more_than_5min_early,off_peak,weekday
85,1|64484|0|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 03:54:00,2025-01-24 03:54:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
86,1|64484|0|86|24012025,Antonplatz (Berlin),departure,2025-01-24 03:54:00,2025-01-24 03:54:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
87,1|64503|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 03:54:00,2025-01-24 03:54:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
88,1|64503|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 03:54:00,2025-01-24 03:54:00,0.0,5,3,2025-01-24,punctual,on_time,off_peak,weekday
89,1|64484|1|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 04:04:00,2025-01-24 04:06:00,120.0,5,4,2025-01-24,late,1_to_5min_late,off_peak,weekday
90,1|64484|1|86|24012025,Antonplatz (Berlin),departure,2025-01-24 04:04:00,2025-01-24 04:06:00,120.0,5,4,2025-01-24,late,1_to_5min_late,off_peak,weekday
91,1|64484|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 04:04:00,2025-01-24 04:06:00,120.0,5,4,2025-01-24,late,1_to_5min_late,off_peak,weekday
92,1|64484|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 04:04:00,2025-01-24 04:06:00,120.0,5,4,2025-01-24,late,1_to_5min_late,off_peak,weekday
93,1|64484|2|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 04:14:00,2025-01-24 04:12:00,-120.0,5,4,2025-01-24,early,1_to_5min_early,off_peak,weekday
